size,version,time
900, gsl, 1.015642
1000, gsl, 1.276364
100, gsl, 0.000743
200, gsl, 0.006650
300, gsl, 0.021904
400, gsl, 0.056008
500, gsl, 0.119242
600, gsl, 0.225233
700, gsl, 0.418935
800, gsl, 0.658119
900, gsl, 0.939100
1000, gsl, 1.288627
